repo,pr_number,convo_start_id,review_category,category,comment,emotion,question,evaluation,suggestion,grade,human_emotion,human_question,human_evaluation,human_suggestion
xbmc/xbmc,26910,2171060709,Agent_Review_Human,ARH,"[nitpick] The block of 60+ `constexpr int` declarations is difficult to scan and maintain. Consider grouping related constants into scoped enums or consolidating them into a helper struct/array to reduce header clutter.
```suggestion
enum class VideoDbDetailsMovie
{
  SET_ID              = VIDEODB_MAX_COLUMNS + 2,
  USER_RATING         = VIDEODB_MAX_COLUMNS + 3,
  PREMIERED           = VIDEODB_MAX_COLUMNS + 4,
  SET_NAME            = VIDEODB_MAX_COLUMNS + 5,
  SET_OVERVIEW        = VIDEODB_MAX_COLUMNS + 6,
  FILE                = VIDEODB_MAX_COLUMNS + 7,
  PATH                = VIDEODB_MAX_COLUMNS + 8,
  PLAYCOUNT           = VIDEODB_MAX_COLUMNS + 9,
  LASTPLAYED          = VIDEODB_MAX_COLUMNS + 10,
  DATEADDED           = VIDEODB_MAX_COLUMNS + 11,
  RESUME_TIME         = VIDEODB_MAX_COLUMNS + 12,
  TOTAL_TIME          = VIDEODB_MAX_COLUMNS + 13,
  PLAYER_STATE        = VIDEODB_MAX_COLUMNS + 14,
  RATING              = VIDEODB_MAX_COLUMNS + 15
};
```",1,0,1,1,IV,,,,
PalisadoesFoundation/talawa-api,3544,2280394825,Agent_Review_Human,ARH,"_ Verification agent_

<details>
<summary> Verification inconclusive</summary>

**Assert admin sign-in success (avoid masking auth failures).**

Add assertions for errors and token presence to make failures actionable.

```diff
   const adminRes = await mercuriusClient.query(Query_signIn, {
     variables: {
       input: {
         emailAddress: server.envConfig.API_ADMINISTRATOR_USER_EMAIL_ADDRESS,
         password: server.envConfig.API_ADMINISTRATOR_USER_PASSWORD,
       },
     },
   });
-  adminToken = adminRes.data?.signIn?.authenticationToken ?? null;
+  expect(adminRes.errors).toBeUndefined();
+  adminToken = adminRes.data?.signIn?.authenticationToken ?? null;
+  expect(adminToken).toBeTruthy();
```

---



</details>

**Add explicit assertions for admin sign-in success**

To prevent silent authentication failures, assert that there are no GraphQL errors and that the token is present.

 File: `test/graphql/types/Notification/notification_engine.test.ts`  
  Lines: 3343

```diff
   const adminRes = await mercuriusClient.query(Query_signIn, {
     variables: {
       input: {
         emailAddress: server.envConfig.API_ADMINISTRATOR_USER_EMAIL_ADDRESS,
         password: server.envConfig.API_ADMINISTRATOR_USER_PASSWORD,
       },
     },
   });
-  adminToken = adminRes.data?.signIn?.authenticationToken ?? null;
+  expect(adminRes.errors).toBeUndefined();
+  adminToken = adminRes.data?.signIn?.authenticationToken ?? null;
+  expect(adminToken).toBeTruthy();
```

<!-- suggestion_start -->

<details>
<summary> Committable suggestion</summary>

> ️ **IMPORTANT**
> Carefully review the code before committing. Ensure that it accurately replaces the highlighted code, contains no missing lines, and has no issues with indentation. Thoroughly test & benchmark the code to ensure it meets the requirements.

```suggestion
		// Admin sign-in from server.envConfig
		const adminRes = await mercuriusClient.query(Query_signIn, {
			variables: {
				input: {
					emailAddress: server.envConfig.API_ADMINISTRATOR_USER_EMAIL_ADDRESS,
					password: server.envConfig.API_ADMINISTRATOR_USER_PASSWORD,
				},
			},
		});
		expect(adminRes.errors).toBeUndefined();
		adminToken = adminRes.data?.signIn?.authenticationToken ?? null;
		expect(adminToken).toBeTruthy();
	});
```

</details>

<!-- suggestion_end -->

<details>
<summary> Prompt for AI Agents</summary>

```
In test/graphql/types/Notification/notification_engine.test.ts around lines 33
to 43, the admin sign-in response is used without asserting success; add
explicit assertions that mercuriusClient.query returned no GraphQL errors and
that adminRes.data.signIn.authenticationToken is present
(non-null/defined/truthy). Concretely, after the query add assertions to fail
the test when adminRes.errors exists (or has length > 0) and to assert
adminToken (or adminRes.data.signIn.authenticationToken) is defined/truthy so
authentication failures cause the test to fail immediately.
```

</details>

<!-- fingerprinting:phantom:medusa:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",1,0,1,1,IV,,,,
OneKeyHQ/app-monorepo,8024,2268762601,Agent_Review_Human,ARH,"_️ Refactor suggestion_

**Harden derive-type resolution with safe fallback and logging**

getGlobalDeriveTypeOfNetwork can throw on invalid network IDs. Wrap it to avoid blocking navigation and log for diagnostics.


Apply this diff:

```diff
-      let linkNetworkDeriveType: IAccountDeriveTypes | undefined;
-      if (others.linkNetworkId) {
-        linkNetworkDeriveType =
-          others.linkNetworkDeriveType ||
-          (await backgroundApiProxy.serviceNetwork.getGlobalDeriveTypeOfNetwork(
-            {
-              networkId: others.linkNetworkId,
-            },
-          ));
-      }
+      let linkNetworkDeriveType: IAccountDeriveTypes | undefined;
+      if (others.linkNetworkId) {
+        try {
+          linkNetworkDeriveType =
+            others.linkNetworkDeriveType ??
+            (await backgroundApiProxy.serviceNetwork.getGlobalDeriveTypeOfNetwork(
+              {
+                networkId: others.linkNetworkId,
+              },
+            ));
+        } catch (e) {
+          defaultLogger.accountSelector.warn?.(
+            'getGlobalDeriveTypeOfNetwork failed',
+            {
+              networkId: others.linkNetworkId,
+              error: (e as Error)?.message,
+            },
+          );
+          // fall back to undefined; downstream will use selectedAccount.deriveType
+        }
+      }
```


Also applies to: 576-577

<details>
<summary> Prompt for AI Agents</summary>

```
In packages/kit/src/states/jotai/contexts/accountSelector/actions.tsx around
lines 558-568 (and similarly at 576-577), the call to
backgroundApiProxy.serviceNetwork.getGlobalDeriveTypeOfNetwork can throw for
invalid network IDs; wrap that await in a try/catch, log the caught error (e.g.,
console.error with clear context including the networkId), and on error fall
back to others.linkNetworkDeriveType or undefined so navigation isn't blocked;
apply the same safe try/catch + logging + fallback to the other occurrence at
lines 576-577.
```

</details>

<!-- fingerprinting:phantom:medusa:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",1,0,1,1,IV,,,,
streamlit/streamlit,12527,2365563458,Agent_Review_Human,ARH,"Missing standard ARIA attributes for a button-triggered listbox: the trigger button should have aria-haspopup=""listbox"" and aria-expanded to reflect open state; aria-controls can reference the menu id. aria-selected is tied to focusedIndex rather than the actual selected value; it should reflect selection (element.value) and focus should use aria-activedescendant or roving tabindex. Add proper attributes and selection state handling for screen reader compliance.",1,0,1,1,IV,,,,
ray-project/ray,56172,2317142838,Agent_Review_Human,ARH,"![high](https://www.gstatic.com/codereviewagent/high-priority.svg)

The `COPY . .` instruction copies the entire build context into the Docker image, but the subsequent `RUN` command doesn't use any of these files. This unnecessarily increases image size, slows down the build, and frequently invalidates the Docker cache. Since the files are not used, this line should be removed.",1,0,1,1,IV,,,,
navikt/aksel,4189,2429177166,Agent_Review_Human,ARH,"Duplicate 'success' option in the variant options array. The second 'success' should likely be 'announcement' to match the available variant types.
```suggestion
      options: [""error"", ""warning"", ""success"", ""announcement""],
```",1,0,1,1,IV,,,,
dotnet/aspnetcore,62982,2238591917,Agent_Review_Human,ARH,"The description mentions ""The number of authenticate attempts"" and ""counter is incremented"" which is inconsistent with the histogram type that measures duration. The description should reflect that this measures the duration of authentication attempts.
```suggestion
        _authenticateDuration = _meter.CreateHistogram<double>(AuthenticateDurationName, ""s"", ""The duration of authentication attempts in seconds. This histogram is updated by sign in methods such as PasswordSignInAsync and TwoFactorSignInAsync."");
```",1,0,1,1,IV,1,0,1,1
PalisadoesFoundation/talawa-admin,4126,2313692756,Agent_Review_Human,ARH,"_️ Potential issue_

**Dont delete/reassign window.location; spy on reload with Vitest types.**

Reassigning/deleting `window.location` is brittle in JSDOM and contradicts the PR objective to use `vi.spyOn`. Also, `jest.Mock` is incorrect in a Vitest codebase. Replace with a spy and proper types; drop the unused `confirmSpy` var.


```diff
-    let originalLocation: Location;
-    let reloadSpy: jest.Mock;
-    let confirmSpy: any;
+    let reloadSpy: SpyInstance<[], void>;

-    beforeEach(() => {
-      originalLocation = window.location;
-      // @ts-expect-error - Mocking window.location for testing
-      delete window.location;
-      // @ts-expect-error - Mocking window.location for testing
-      window.location = { ...originalLocation, reload: vi.fn() };
-      reloadSpy = window.location.reload as any;
-    });
+    beforeEach(() => {
+      reloadSpy = vi.spyOn(window.location, 'reload').mockImplementation(() => {});
+    });

-    afterEach(() => {
-      vi.restoreAllMocks();
-      Object.defineProperty(window, 'location', {
-        value: originalLocation,
-        writable: true,
-      });
-    });
+    afterEach(() => {
+      reloadSpy.mockRestore();
+      vi.restoreAllMocks();
+    });
```

Add missing type import at the top of the file:
```ts
import type { SpyInstance } from 'vitest';
```


Also applies to: 112-118

<details>
<summary> Prompt for AI Agents</summary>

```
In src/components/MemberRequestCard/MemberRequestCard.spec.tsx around lines
99-110 (and similarly update 112-118), dont delete or reassign window.location;
instead import type { SpyInstance } from 'vitest' at the top, replace the
jest.Mock declaration with let reloadSpy: SpyInstance, remove the unused
confirmSpy variable, and create a spy on window.location.reload using
vi.spyOn(window.location, 'reload') (restore the spy in afterEach if needed) so
tests use Vitest types and avoid brittle JSDOM mutation.
```

</details>

<!-- fingerprinting:phantom:medusa:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",1,0,1,1,IV,,,,
streamlit/streamlit,12845,2452549784,Agent_Review_Human,ARH,"The `typeof` check doesn't account for `null`, which has `typeof null === ""object""` in JavaScript. This will cause `JSON.stringify(null, null, 2)` to execute when `data` is `null`, resulting in the string `""null""` instead of the actual null value. Add an explicit null check: `(data !== null && typeof data === ""object"")`.
```suggestion
              (data !== null && typeof data === ""object""
```",1,0,1,1,IV,1,0,1,1
shapeshift/web,10706,2392781394,Agent_Review_Human,ARH,"_️ Potential issue_ | _ Major_

**Fix stale explorer memo dependencies**  
`getExplorerHref` closes over `assets`, but `useMemo` only depends on `assetId`. When the asset map mutates (e.g., explorer link fetched/updated) the memo never recomputes and we keep showing the old link. Please either memoize `getExplorerHref` with `useCallback` and include it in the dependency list, or add `assets` to the memo dependencies so state updates propagate. 

```diff
-    const explorerHref = useMemo(() => getExplorerHref(assetId), [assetId])
+    const getExplorerHref = useCallback(
+      (assetId: AssetId) => {
+        const asset = assets[assetId]
+        if (!asset) return
+
+        const { assetReference } = fromAssetId(assetId)
+
+        if (isNft(assetId)) {
+          const [token] = assetReference.split('/')
+          return `${asset.explorer}/token/${token}?a=${asset.id}`
+        }
+
+        if (isToken(assetId)) return `${asset?.explorerAddressLink}${assetReference}`
+
+        return asset.explorer
+      },
+      [assets],
+    )
+
+    const explorerHref = useMemo(() => getExplorerHref(assetId), [assetId, getExplorerHref])
```

<details>
<summary> Prompt for AI Agents</summary>

```
In src/components/ManageHiddenAssets/ManageHiddenAssetsList.tsx around lines
94-95, the memoized explorerHref uses getExplorerHref but only depends on
assetId so it becomes stale when the assets map mutates; fix by either wrapping
getExplorerHref in useCallback (so it captures assets properly) and including
that callback in the useMemo dependency array, or simply add assets to the
useMemo dependency list (e.g., [assetId, assets]) so explorerHref recomputes
when assets change; ensure whichever approach you choose the dependency list
accurately reflects all values used by getExplorerHref.
```

</details>

<!-- fingerprinting:phantom:poseidon:sabertoothed -->

<!-- This is an auto-generated reply by CodeRabbit -->",1,0,1,1,IV,,,,
redpanda-data/redpanda,28220,2466852633,Agent_Review_Human,ARH,"Mutable default argument `extra_rp_conf={}` can lead to unintended shared state between test instances. Use `None` as default and initialize inside the method: `extra_rp_conf = extra_rp_conf or {}`.
```suggestion
    def __init__(self, test_context, extra_rp_conf=None):
        if extra_rp_conf is None:
            extra_rp_conf = {}
```",1,0,1,1,IV,,,,
BOINC/boinc,6534,2312614186,Agent_Review_Human,ARH,The function `get_batches_params` is called but not defined in this file. This will cause a fatal error since the include for `submit_util.inc` is missing or the function is not available in the included files.,1,0,1,0,III,,,,
home-assistant/core,156193,2508110923,Agent_Review_Human,ARH,"The PIN field should have a default value from the existing config entry to display the current value to the user. This is inconsistent with how HOST and PORT are handled on lines 208 and 211. Change to: `vol.Optional(CONF_PIN, default=reconfigure_entry.data.get(CONF_PIN)): cv.string`
```suggestion
                vol.Optional(CONF_PIN, default=reconfigure_entry.data.get(CONF_PIN)): cv.string,
```",1,0,1,1,IV,,,,
